D,G,H,J
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 340, Introduction to Database Systems
,,,
,Student Id,,
,441002121,,
,431002571,,
,442004401,,
,451001731,,
,412004541,,
,431002351,,
,451003561,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 344, Advanced Programming
,,,
,Student Id,,
,441002121,,
,431002571,,
,442004401,,
,412004541,,
,411002651,,
,431002351,,
,451001731,,
,451003561,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 432, Software Security Engineering
,,,
,Student Id,,
,441000201,,
,431000621,,
,411003071,,
,441003371,,
,441003441,,
,411002111,,
,411001091,,
,402004251,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 433, Internet Technologies
,,,
,Student Id,,
,451003161,,
,411001091,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 474, Software Design and Architecture
,,,
,Student Id,,
,431001111,,
,431001571,,
,432004221,,
,441002351,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 478, Software Construction Laboratory
,,,
,Student Id,,
,411002151,,
,432004221,,
,432004361,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 480, Advanced Web Applications Engineering
,,,
,Student Id,,
,431001571,,
,412003641,,
,431001111,,
,411003071,,
,441003441,,
,412004231,,
,411002151,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 490, Internship
,,,
,Student Id,,
,411002801,,
,441003481,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 498, Senior Project I
,,,
,Student Id,,
,451000251,,
,441000201,,
,451003551,,
,432004361,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 498, Senior Project I
,,,
,Student Id,,
,411002651,,
,411002111,,
,411002151,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 499, Senior Project II
,,,
,Student Id,,
,441003441,,
,412003391,,
,412003541,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 499, Senior Project II
,,,
,Student Id,,
,431000621,,
,432004221,,
,431002141,,
,432004951,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, CS- 499, Senior Project II
,,,
,Student Id,,
,412003641,,
,411003071,,
,411001091,,
,412004231,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, ENGL. 101, English I
,,,
,Student Id,,
,462005631,,
,462005721,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, ENGL_ 10, English Writing I
,,,
,Student Id,,
,452005231,,
,461002581,,
,452004901,,
,441000861,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, ENGL. 102, English II
,,,
,Student Id,,
,462005421,,
,462006181,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, ENGL- 103, English Writing II
,,,
,Student Id,,
,431002351,,
,461002131,,
,411003071,,
,441001221,,
,411002651,,
,431002571,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, ETHC- 303, Ethical and Social Aspects of Computer
,,,
,Student Id,,
,451001221,,
,451001211,,
,411002151,,
,431001111,,
,431001571,,
,462006011,,
,432004221,,
,451000801,,
,451003281,,
,432004261,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, MATH- 26, Introduction to Operations Research
,,,
,Student Id,,
,451000251,,
,411001091,,
,451003161,,
,462004471,,
,451001161,,
,451003551,,
,462004921,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, MATH- 26, Differential and Integral Calculus
,,,
,Student Id,,
,441003371,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, MGT- 101, Entrepreneurship
,,,
,Student Id,,
,462005421,,
,462006021,,
,462006181,,
,462005631,,
,462005721,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Science,
Course,, PE- 101, Physical Education
,,,
,Student Id,,
,462006021,,
,462006181,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 308, Computer Architecture
,,,
,Student Id,,
,431003531,,
,431003581,,
,431000131,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 342, Data & Computer Communication
,,,
,Student Id,,
,432005001,,
,432004461,,
,432004511,,
,432004611,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 344, Computer Networks
,,,
,Student Id,,
,431003531,,
,441000201,,
,461002581,,
,451003551,,
,431003581,,
,432004701,,
,431000131,,
,411001091,,
,431002141,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 402, Advanced Digital Systems Design
,,,
,Student Id,,
,412003911,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 445, Internet Architecture and Technologies
,,,
,Student Id,,
,412003911,,
,432004701,,
,431000891,,
,432004611,,
,432004461,,
,452004851,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 446, Computer & Network Security
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 447, Fundamentals of Optical Networking
,,,
,Student Id,,
,432004511,,
,451001081,,
,411000491,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 448, Wireless & Mobile Networks
,,,
,Student Id,,
,451000121,,
,451003361,,
,451004141,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 455, Introduction to Digital Control
,,,
,Student Id,,
,412003911,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 498, Design project-I
,,,
,Student Id,,
,432004701,,
,431003581,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, COE- 499, Design project-II
,,,
,Student Id,,
,411000491,,
,412003911,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 001, Prep. English I
,,,
,Student Id,,
,462004881,,
,451001501,,
,462004491,,
,462005651,,
,461001221,,
,462004511,,
,462004951,,
,462006171,,
,461001881,,
,462005321,,
,462005271,,
,462004921,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 002, Prep. English II
,,,
,Student Id,,
,461001771,,
,461001271,,
,462004651,,
,461000741,,
,461001821,,
,461002031,,
,461000681,,
,461000251,,
,451001191,,
,461000611,,
,461000041,,
,461002821,,
,452006081,,
,461000321,,
,461004111,,
,461004121,,
,461001931,,
,461002551,,
,461002921,,
,462005621,,
,461003161,,
,461002901,,
,461002561,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 002, Prep. English II
,,,
,Student Id,,
,461000801,,
,461002741,,
,461004381,,
,461001031,,
,461000921,,
,462005031,,
,461000351,,
,461003121,,
,462005531,,
,451000771,,
,461002161,,
,462005581,,
,462005751,,
,461000691,,
,462004931,,
,462006091,,
,462005841,,
,461002801,,
,461002321,,
,451002941,,
,441000861,,
,452005311,,
,461004221,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 101, Intro. to Academic Discourse
,,,
,Student Id,,
,451002761,,
,461003931,,
,461001941,,
,462004461,,
,461002541,,
,452004451,,
,462005051,,
,462005791,,
,462005261,,
,452004611,,
,412003951,,
,461004231,,
,452005411,,
,461003911,,
,461003661,,
,452004881,,
,462005811,,
,461004141,,
,441002651,,
,461003221,,
,451003281,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 102, Intro to Report Writing
,,,
,Student Id,,
,451001371,,
,442004411,,
,452005991,,
,441000151,,
,461001291,,
,461000191,,
,461001431,,
,441002971,,
,441003121,,
,451004211,,
,451003771,,
,432004341,,
,442004381,,
,411002931,,
,451000361,,
,452004731,,
,452004851,,
,431000891,,
,401000431,,
,461003871,,
,461002051,,
,452005671,,
,442004741,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 102, Intro to Report Writing
,,,
,Student Id,,
,431002531,,
,451003181,,
,461003501,,
,451000931,,
,431003201,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, ENGL- 214, Academic & Professional Comm.
,,,
,Student Id,,
,442005191,,
,451003131,,
,442004641,,
,401002781,,
,451001611,,
,441000571,,
,431002881,,
,452004871,,
,432003991,,
,441003841,,
,452005841,,
,401001071,,
,441000461,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, IAS- 212, Professional Ethics
,,,
,Student Id,,
,451002761,,
,441002121,,
,452005231,,
,461000191,,
,441000861,,
,441002831,,
,452004451,,
,462004471,,
,442004381,,
,451001611,,
,442004701,,
,452005411,,
,452005311,,
,452005671,,
,461002701,,
,451003281,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, IAS- 410, Biography of the Prophet
,,,
,Student Id,,
,451000731,,
,431000621,,
,432004511,,
,461002561,,
,442005121,,
,461003551,,
,461003521,,
,462004461,,
,442004401,,
,432004701,,
,462005051,,
,442004381,,
,462004921,,
,452005991,,
,461003601,,
,461001491,,
,461001291,,
,451001011,,
,452005631,,
,452004941,,
,452004901,,
,432003991,,
,432004951,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, IAS- 410, Biography of the Prophet
,,,
,Student Id,,
,462005751,,
,442004411,,
,461003681,,
,461001941,,
,461003871,,
,461002971,,
,411001641,,
,432004221,,
,432004341,,
,412004541,,
,452005671,,
,462005811,,
,452005431,,
,461000231,,
,441001121,,
,461002051,,
,431002141,,
,461001431,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, PE- 001, Prep. Physical Educ. I
,,,
,Student Id,,
,461001771,,
,461001271,,
,462004651,,
,461000741,,
,461001821,,
,461002031,,
,451000731,,
,461000681,,
,451001191,,
,461000611,,
,452004871,,
,461000041,,
,461002821,,
,461000321,,
,461004111,,
,461004121,,
,461000251,,
,462004811,,
,461001931,,
,461002551,,
,461002921,,
,462005621,,
,461003161,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, PE- 001, Prep. Physical Educ. I
,,,
,Student Id,,
,461003851,,
,462005461,,
,461002561,,
,461000801,,
,462004461,,
,461002741,,
,461004381,,
,462005051,,
,461000921,,
,462005791,,
,462005031,,
,442005141,,
,461003601,,
,462005261,,
,461000351,,
,461001491,,
,462005971,,
,462004471,,
,462004691,,
,461003121,,
,462005531,,
,451000771,,
,451001161,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Computer Engineering,
Course,, PE- 001, Prep. Physical Educ. I
,,,
,Student Id,,
,461002161,,
,462005581,,
,462005751,,
,461000691,,
,462004931,,
,462005841,,
,462004921,,
,461002801,,
,461002321,,
,461001221,,
,461001031,,
,461003661,,
,461004221,,
,462005811,,
,461004141,,
,462005641,,
,462005271,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 414, Productivity Engineering and Management
,,,
,Student Id,,
,401001071,,
,431002221,,
,401002781,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 423, Industrial system simulation
,,,
,Student Id,,
,401002781,,
,411001641,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 434, Manufacturing Cost Analysis
,,,
,Student Id,,
,442005191,,
,401001981,,
,441003841,,
,412004731,,
,441004011,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 443, Safety Engineering
,,,
,Student Id,,
,401001981,,
,412004731,,
,401002781,,
,432003991,,
,431002881,,
,412004011,,
,431002221,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 498, Design project I
,,,
,Student Id,,
,442005191,,
,412004731,,
,441003841,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 498, Design project I
,,,
,Student Id,,
,441004011,,
,411001641,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 499, Design project II
,,,
,Student Id,,
,431002221,,
,412004011,,
,432003991,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, IE- 499, Design project II
,,,
,Student Id,,
,401002781,,
,431002881,,
,401001071,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Industrial Engineering,
Course,, MATH- 36, Discrete mathematics
,,,
,Student Id,,
,441001831,,
,441002831,,
,441000481,,
,442004711,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 204, Engineering Electromagnetic-I
,,,
,Student Id,,
,431002401,,
,442004741,,
,442005121,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 320, Electronics-II
,,,
,Student Id,,
,442004741,,
,442005121,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 380, Electric Energy Engineering
,,,
,Student Id,,
,452005991,,
,442004741,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 442, Machine Learning
,,,
,Student Id,,
,442004741,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 499, Design Project II
,,,
,Student Id,,
,411000941,,
,,,
,,,
,, Male Campus,
Degree,, Bachelors,
Faculty,, Engineering and Computer Science,
,, Electronics and Communication Engineering,
Course,, EE- 999, practical training
,,,
,Student Id,,
,411000941,,
